City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,suva,-18.1416,178.4415,25.71,94,75,1.03,FJ,1711447324
261,manokwari,-0.8667,134.0833,27.58,80,63,1.43,ID,1711447324
262,oistins,13.0667,-59.5333,26.05,83,40,5.66,BB,1711447325
263,brookings,44.3114,-96.7984,-6.62,92,100,9.26,US,1711447325
264,ntoum,0.3833,9.7833,30.87,66,81,0.64,GA,1711447326
265,san andres,12.5847,-81.7006,27.01,78,20,3.6,CO,1711447326
266,trinidad,-14.8333,-64.9,22.86,96,99,1.01,BO,1711447327
267,lebu,-37.6167,-73.65,15.82,93,95,2.94,CL,1711447300
268,recani,31.2846,-4.2688,19.3,33,0,2.14,MA,1711447327
269,robore,-18.3333,-59.75,22.48,90,55,1.11,BO,1711447328
270,berdigestyakh,62.0989,126.6992,-9.91,94,100,4.15,RU,1711447328
271,saacow,1.6279,42.4407,37.97,31,63,3.93,SO,1711447329
272,fort bragg,35.139,-79.006,6.57,78,100,0.89,US,1711447330
273,korhogo,9.45,-5.6333,30.87,52,96,3.34,CI,1711447330
274,brokopondo,4.75,-55.1667,24.27,86,87,2.77,SR,1711447331
275,mabaruma,8.2,-59.7833,21.18,96,68,0.88,GY,1711447331
276,helena valley west central,46.6629,-112.0604,0.67,93,100,2.06,US,1711447332
277,ardestan,33.3761,52.3694,18.84,17,0,4.35,IR,1711447332
278,tiksi,71.6872,128.8694,-30.3,100,28,2.58,RU,1711447333
279,marat,25.0701,45.4615,21.39,28,0,1.8,SA,1711447333
280,balabac,7.9868,117.0645,28.16,77,99,4.82,PH,1711447334
281,san antonio de pale,-1.4014,5.6325,28.32,76,100,0.98,GQ,1711447334
282,kaihua,23.3687,104.28,25.6,40,100,5.89,CN,1711447335
283,lago da pedra,-4.3333,-45.1667,23.0,99,100,1.72,BR,1711447328
284,mucumpiz,8.4167,-71.1333,12.46,84,38,1.28,VE,1711447115
285,kapuskasing,49.4169,-82.4331,-0.95,93,100,4.63,CA,1711447210
286,whakatane,-37.9585,176.9854,18.06,89,0,3.3,NZ,1711447156
287,burao,9.5221,45.5336,30.89,31,62,3.36,SO,1711447338
288,uturoa,-16.7333,-151.4333,28.79,74,16,6.12,PF,1711447338
289,markovo,57.3206,107.0881,0.67,83,75,3.66,RU,1711447339
290,bontoc,17.0899,120.978,23.14,89,77,1.12,PH,1711447340
291,iacu,-12.7672,-40.2117,23.09,89,62,0.27,BR,1711447185
292,sale,34.0389,-6.8166,14.38,58,100,6.69,MA,1711447341
293,sabang,5.8933,95.3214,29.57,69,96,4.2,ID,1711447341
294,nishinoomote,30.7333,131.0,16.31,77,75,13.38,JP,1711447342
295,lerwick,60.1545,-1.1494,5.0,64,100,6.08,GB,1711447342
296,bazarnyy karabulak,52.2683,46.4144,2.61,100,100,6.48,RU,1711447343
297,boa vista,2.8197,-60.6733,27.99,65,59,1.03,BR,1711447072
298,aquin,18.2833,-73.4,24.61,84,20,2.52,HT,1711447344
299,el granada,37.5027,-122.4694,11.94,91,100,7.2,US,1711447344
300,arno,60.1167,18.6333,-0.12,77,92,4.48,SE,1711447345
301,smara,26.7384,-11.6719,19.07,48,0,7.81,EH,1711447345
302,as samawah,31.332,45.2944,23.82,25,0,3.76,IQ,1711447346
303,cabo san lucas,22.8909,-109.9124,16.95,67,0,2.68,MX,1711447129
